Объем производства промышленной продукции по видам экономической деятельности																																								
 (млн. сомов)																																								
				2014	I	II	III	IV	Jan.	Feb.	March	April	May	June	July	August	Sept.	Oct.	Nov.	Dec.	2015	I	II	III	IV	Jan.	Feb.	March	April	May	June	July	August	Sept.	Oct.	Nov.	Dec.			
																																								
																																								
									                  2014                																	2015														
по месяцам	2014			2014	I	II	III	IV	янв.	фев.	март	апр.	май	июнь	июль	авг.	сент.	окт.	нояб.	дек.	2015	I	II	III	IV	янв.	фев.	март	апр.	май	июнь	июль	авг.	сент.	окт.	нояб.	дек.			
																		                                                           																	                                                           					
Всего	171108,9	3 556,7	296,4	167 552,2	34 222,4	31 628,9	35 097,3	66 290,3	10 720,7	12 563,8	10 937,9	10 364,0	9 907,4	11 357,5	9 877,4	10 892,0	14 327,9	18 330,0	22 679,9	25 280,4		50 621,6	39 029,0	37 103,5		17 973,9	16 363,3	16 284,4	13 457,2	12 793,7	12 778,1	12 714,6	12 829,5	11 559,4	14 012,2					
		0,0	0,0																																					
I.Добыча полезных ископаемых	5597	-235,3	-19,6	5 832,3	850,2	1 165,3	1 600,6	2 060,5	296,4	267,8	286,0	492,1	366,0	307,2	433,3	480,7	686,6	604,8	647,6	808,1		1 766,4	1 862,8	2 025,2		845,6	237,2	683,6	473,7	627,5	761,6	503,2	745,2	776,8	516,8					
А.Добыча каменного угля и бурого угля (лигнита)	2147	31,7	2,6	2 115,3	296,9	313,3	590,3	914,7	131,8	72,3	92,8	129,0	102,7	81,6	115,2	203,3	271,8	274,8	311,5	328,4		474,4	324,0	536,4		192,4	111,9	170,1	77,1	80,0	166,9	99,4	166,2	270,8	265,7					
Б.Добыча сырой нефти и природного газа	2078	38,5	3,2	2 039,5	415,2	514,6	476,7	551,7	143,8	118,7	152,7	169,1	198,2	147,3	124,5	179,1	173,1	107,8	228,7	215,2		427,9	413,9	724,2		168,0	94,9	165,0	152,0	127,9	134,0	73,5	350,2	300,5	93,8					
В.Добыча металлических руд	831,7	69,6	5,8	762,1	49,4	136,6	259,3	316,8	0,0	49,4	0,0	136,6	0,0	0,0	107,3	7,9	144,1	120,4	19,1	177,3		768,7	901,3	492,8		464,6	5,5	298,6	180,0	364,0	357,3	247,5	142,0	103,3	56,7					
Г.Добыча прочих полезных ископаемых	539,3	-376,1	-31,3	915,4	88,6	200,9	274,3	277,1	20,8	27,4	40,4	57,4	65,2	78,3	86,2	90,4	97,7	101,7	88,3	87,1		95,2	223,3	271,8		20,6	24,7	49,9	64,5	55,5	103,3	82,7	87,0	102,1	100,6					
		0,0	0,0																																					
II.Обрабатывающие производства	140266,8	3 307,0	275,6	136 959,8	24 246,9	26 240,1	29 663,3	56 725,9	7 187,3	9 138,5	7 921,1	8 042,0	8 299,1	9 899,0	8 157,5	9 084,6	12 421,2	16 115,2	19 458,5	21 152,2		37 249,1	31 639,2	29 908,2		12 991,6	12 040,6	12 216,9	10 675,4	10 549,9	10 413,9	10 496,6	10 399,8	9 011,8	11 263,9					
